,TEAM,game_id,HOME,PASSINGYARDS,RUSHINGYARDS,TURNOVERS,THIRDDOWN%,REDZONETD%,PENALTYYARDS,OPPONENTPAG,EPA_per_play,PASS_EPA,RUSH_EPA,SUCCESS_RATE,POINTSSCORED,EPA_per_play_last3,REDZONETD%_last3,POINTSSCORED_last3,OPPONENTPAG_last3
247,CHI,2024_09_CHI_ARI,0,217,69,0,0.25,0.0,31,21.4705882352941,-0.182892326843072,-0.232169139384565,-0.219327971609098,0.325842696629214,9,0.11060623064729343,0.16002388416181532,28.0,26.774509803921564
290,CHI,2024_10_NE_CHI,1,120,73,0,0.125,0.0,35,23.8235294117647,-0.30462321312128,-0.57326822964447,-0.0676259409665363,0.358974358974359,3,0.0031222696302470967,0.12554112554112562,19.0,23.656862745098035
312,CHI,2024_11_GB_CHI,1,231,179,0,0.5625,0.1,60,19.2777777777778,0.137306981397471,0.0912384137722153,0.312797472397486,0.5,19,-0.1897128741877446,0.030303030303030318,8.333333333333334,23.26470588235294
344,CHI,2024_12_MIN_CHI,1,340,78,0,0.333333333333333,0.1875,30,19.3333333333333,0.0445507361212103,0.0665331563532879,0.0455005856400186,0.48421052631579,27,-0.11673618618896035,0.033333333333333354,10.333333333333334,21.523965141612205
360,CHI,2024_13_CHI_DET,0,256,78,0,0.4375,0.125,82,21.0555555555556,0.0133807748293979,-0.0287406088527006,0.0479210702391962,0.443037974683544,20,-0.04092183186753292,0.09583333333333337,16.333333333333332,20.811546840958602
396,CHI,2024_14_CHI_SF,0,140,68,1,0.4,0.222222222222222,21,25.0,-0.0689056426648879,-0.222854736068708,-0.0508714674534055,0.477611940298507,13,0.06507949744935972,0.13750000000000004,22.0,19.8888888888889
422,CHI,2024_15_CHI_MIN,0,196,113,1,0.0714285714285714,0.0625,51,19.3333333333333,-0.173423677185165,-0.126295854428734,-0.315036359247253,0.428571428571429,12,-0.0036580439047599195,0.1782407407407407,20.0,21.7962962962963
454,CHI,2024_16_DET_CHI,1,334,59,2,0.166666666666667,0.0625,80,21.0555555555556,-0.0033088079358961,0.264785576108677,-0.604977962584815,0.475609756097561,17,-0.07631618167355168,0.13657407407407404,15.0,21.7962962962963
508,CHI,2024_17_SEA_CHI,1,122,103,1,0.3125,0.0,23,21.2352941176471,-0.152744881158108,-0.292164189153484,-0.0812075994706348,0.397260273972603,3,-0.08187937592864968,0.1157407407407407,14.0,21.7962962962963
516,CHI,2024_18_CHI_GB,0,148,83,2,0.466666666666667,0.166666666666667,55,19.2777777777778,-0.131786565331497,-0.176720492607759,-0.16299901824543,0.4,21,-0.10982578875972304,0.041666666666666685,10.666666666666666,20.541394335512
22,CIN,2024_01_NE_CIN,1,164,70,1,0.307692307692308,0.142857142857143,35,23.8235294117647,-0.0384047210302792,-0.336472266826164,0.1360956303688,0.491803278688525,10,-0.07802684454700207,0.03125000000000003,10.0,21.14542483660135
38,CIN,2024_02_CIN_KC,0,258,74,1,0.285714285714286,0.0909090909090909,54,20.1,0.056322782571939,0.100536792836731,-0.0510402193282392,0.531645569620253,25,-0.09557480109419363,0.07142857142857152,6.5,22.5294117647059
