TEAM,game_id,HOME,PASSINGYARDS,RUSHINGYARDS,TURNOVERS,THIRDDOWN%,REDZONETD%,PENALTYYARDS,OPPONENTPAG,POINTSSCORED
PIT,2024_08_NYG_PIT,1,278,167,1,0.4,0,45,24.05882353,26
NE,2024_08_NYJ_NE,1,155,112,0,0.466666667,0.157894737,50,23.05882353,23
NYJ,2024_08_NYJ_NE,0,233,112,0,0.5,0.157894737,55,23.82352941,22
CIN,2024_08_PHI_CIN,1,234,58,2,0.769230769,0.133333333,0,17.61904762,17
PHI,2024_08_PHI_CIN,0,236,161,0,0.5,0.166666667,43,24.41176471,34
DET,2024_08_TEN_DET,1,94,164,0,0.4,0.227272727,15,27,52
TEN,2024_08_TEN_DET,0,266,158,4,0.272727273,0.153846154,69,21.05555556,14
ARI,2024_09_CHI_ARI,1,154,213,2,0.384615385,0.095238095,17,20.88235294,29
CHI,2024_09_CHI_ARI,0,217,69,0,0.25,0,31,21.47058824,9
ATL,2024_09_DAL_ATL,1,222,100,1,0.285714286,0.230769231,25,27.29411765,27
DAL,2024_09_DAL_ATL,0,248,137,0,0.230769231,0.153846154,56,23.88235294,19
BAL,2024_09_DEN_BAL,1,280,127,0,0.375,0.173913043,56,18.38888889,41
DEN,2024_09_DEN_BAL,0,225,122,1,0.4,0.043478261,68,20.73684211,10
DET,2024_09_DET_GB,0,145,124,0,0.357142857,0.095238095,22,19.27777778,24
GB,2024_09_DET_GB,1,273,138,1,0.307692308,0.0625,81,21.05555556,12
HOU,2024_09_HOU_NYJ,0,191,187,1,0.315789474,0.047619048,108,23.05882353,10
NYJ,2024_09_HOU_NYJ,1,211,100,1,0.384615385,0,35,20.84210526,21
IND,2024_09_IND_MIN,0,179,68,2,0.272727273,0,66,19.33333333,10
MIN,2024_09_IND_MIN,1,312,133,3,0.461538462,0.166666667,25,24.88235294,21
JAX,2024_09_JAX_PHI,0,169,60,2,0.363636364,0.222222222,28,17.61904762,23
PHI,2024_09_JAX_PHI,1,230,237,2,0.473684211,0.166666667,56,25,28
CLE,2024_09_LAC_CLE,1,235,79,3,0.333333333,0.066666667,30,17.66666667,9
LAC,2024_09_LAC_CLE,0,282,96,0,0.333333333,0.222222222,30,25.58823529,27
